to back up (backup) ; выполнять резервное копирование;useful_verb;1
to boot ; загружать, загружаться (например, об устройстве или операционной системе);useful_verb;1
to burn ; записывать на оптический диск;useful_verb;1
to create ; создавать;useful_verb;1
to compile ; компилировать;useful_verb;1
to compress ; сжимать (например, архиватором);useful_verb;1
to connect ; соединять, подключаться;useful_verb;1
to copy ; копировать;useful_verb;1
to cut ; вырезать в буфер обмена;useful_verb;1
to debug ; отлаживать;useful_verb;1
to decrypt ; расшифровывать;useful_verb;1
to delete ; удалять;useful_verb;1
to deploy ; развертывать (например, приложение на сервере);useful_verb;1
to develop ; разрабатывать;useful_verb;1
to disable ; отключать, деактивировать;useful_verb;1
to disconnect ; разъединять, отключаться;useful_verb;1
to display ; отображать;useful_verb;1
to download ; загружать, скачивать;useful_verb;1
to eject ; извлекать (устройство);useful_verb;1
to enable ; включать, активировать;useful_verb;1
to encrypt ; шифровать, зашифровывать;useful_verb;1
to execute ; исполнять;useful_verb;1
to format ; форматировать;useful_verb;1
to implement ; внедрять, реализовывать;useful_verb;1
to initialize ; приводить в исходное состояние, инициализировать;useful_verb;1
to install ; инсталлировать, устанавливать;useful_verb;1
to integrate ; интегрировать, объединять в одну систему;useful_verb;1
to link to ; ссылаться на что-либо;useful_verb;1
to load ; загружать;useful_verb;1
to paste ; вставлять из буфера обмена;useful_verb;1
to plug in ; подключать;useful_verb;1
to press (a button) ; нажимать (кнопку);useful_verb;1
to read ; считывать;useful_verb;1
to reboot ; перезагружать, перезагружаться;useful_verb;1
to restore ; восстанавливать;useful_verb;1
to save ; сохранять;useful_verb;1
to scroll up/down ; прокручивать вверх/вниз (например, веб-страницу);useful_verb;1
to sort ; сортировать;useful_verb;1
to switch on/off ; включать/выключать;useful_verb;1
to uninstall ; деинсталлировать, удалять;useful_verb;1
to update ; обновлять;useful_verb;1
to upgrade ; улучшать, модернизировать;useful_verb;1
to upload ; загружать, закачивать;useful_verb;1
to verify ; проверять;useful_verb;1
Hardware ; аппаратное обеспечение Слово/Словосочетание Перевод;computer;2
a bus ; шина;computer;2
a cable ; кабель;computer;2
a central - processing unit (CPU); центральный процессор;computer;2
a computer  case ; корпус системного блока;computer;2
a device ; устройство;computer;2
a fan ; вентилятор охлаждения, кулер;computer;2
a graphics card (display card, display adapter, graphics adapter) ; видеокарта (графический адаптер);computer;2
a graphics processing unit (GPU) ; графический процессор;computer;2
a hard disk drive (HDD) ; жесткий диск;computer;2
a laptop ; ноутбук, портативный компьютер;computer;2
a light; светодиод;computer;2
a motherboard (mainboard) ; материнская плата;computer;2
a network card ; сетевой адаптер (сетевая карта, сетевая плата);computer;2
